,id1,id2,type,train,func
0,411630,17456565,1,1,4
1,9118411,10195219,4,1,4
2,189963,397240,1,1,4
3,12069893,23677119,3,1,4
4,482330,860578,1,1,4
5,4723745,18828007,3,1,3
6,608747,861011,1,1,4
7,1008332,1637147,4,1,4
8,3958807,13227684,4,1,4
9,4223265,11953289,3,1,3
10,223631,567476,1,1,4
11,14191569,23677114,0,1,4
12,189777,860848,1,1,4
13,44823,17999564,4,1,4
14,12062763,23677112,0,1,2
15,19287011,23677118,0,1,4
16,6217449,21561833,3,1,4
17,3061454,5102753,3,1,4
18,15519967,21652119,4,1,4
19,3536332,8385785,3,1,3
20,482330,838844,1,1,4
21,1966262,19142737,2,1,4
22,13048962,16704464,3,1,4
23,6302320,16458722,3,1,4
24,1180865,19344618,3,1,4
25,13734387,23677113,0,1,2
26,5551857,16820041,3,1,3
27,6805931,15599611,4,1,4
28,10169905,20082006,3,1,4
29,213301,814473,1,1,4
30,196392,483411,3,1,2
31,22892372,23677111,0,1,2
32,4716110,17637279,3,1,4
33,15497664,23677112,0,1,2
34,23162609,23677124,0,1,6
35,11986970,23069799,3,1,4
36,33845,47337,1,1,4
37,5297820,8389315,3,1,4
38,9186576,12236729,3,1,4
39,12106606,23677114,0,1,4
40,2857623,13028546,3,1,4
41,19142737,19643373,3,1,4
42,442381,832234,3,1,2
43,3753583,18972693,4,1,4
44,16030263,16164368,3,1,3
45,16502662,19130322,3,1,3
46,2057786,18998637,3,1,2
47,8612648,11915880,4,1,4
48,161760,653371,1,1,4
49,272875,804637,1,1,4
50,662799,746544,1,1,4
51,831649,21488868,1,1,4
52,978946,20544327,2,1,4
53,6276686,15311522,4,1,2
54,3287812,18492101,4,1,4
55,8561723,21395181,3,1,10
56,338138,716792,1,1,2
57,1050422,10793696,3,1,3
58,130541,852143,1,1,2
59,11834952,19416288,4,1,4
60,2499053,2499054,2,1,3
61,10935129,20103172,3,1,3
62,9228039,23677119,0,1,4
63,4788269,23677117,0,1,4
64,7352539,23677115,3,1,4
65,12096098,21163359,3,1,3
66,1421558,14183084,1,1,4
67,22137813,23677137,3,1,7
68,4265803,8831301,4,1,2
69,21870537,22246375,1,1,4
70,108845,396354,3,1,2
71,16598483,23677119,0,1,4
72,88047,397240,1,1,4
73,539195,10824317,3,1,4
74,12483251,21779336,2,1,7
75,13031531,23118425,3,1,3
76,9871231,13840371,4,1,4
77,367770,2668853,3,1,4
78,19235549,23677111,0,1,2
79,845085,15195064,3,1,7
80,11702614,23677115,0,1,4
81,9225969,22026286,4,1,7
82,6013463,23677118,0,1,4
83,7082101,16820041,3,1,3
84,346058,12270268,4,1,4
85,831649,13902981,2,1,4
86,831649,13783899,2,1,4
87,23458519,23677114,4,1,4
88,1951103,11651293,4,1,4
89,4442345,23677145,0,1,7
90,3850809,18935086,4,1,4
91,10730397,23677116,3,1,4
92,11203339,21177597,3,1,4
93,3978711,19141604,3,1,4
94,7549312,23677112,0,1,2
95,1421558,19584877,2,1,4
96,241286,21488868,4,1,4
97,9296325,9530015,4,1,4
98,266990,22403259,3,1,4
