,id1,id2,func,type,train
0,2403,23677226,44,0,1
0,479568,23677155,13,0,1
0,518705,23677226,44,4,1
1,2747,23677226,44,0,1
2,479568,23677157,13,0,1
2,7762,23677226,44,0,0
3,479569,23677155,13,0,1
3,10733,23677226,44,0,1
4,12936,23677226,44,0,1
4,479569,23677156,13,0,1
5,13477,23677226,44,0,1
5,479569,23677157,13,0,1
6,479570,23677155,13,0,0
6,28136,23677226,44,0,1
7,28335,23677226,44,0,1
7,479570,23677156,13,0,1
8,23677139,23677146,7,4,0
8,45592,23677226,44,0,1
9,682291,23677155,13,0,1
9,53657,23677226,44,0,1
10,682291,23677156,13,0,1
10,53723,23677226,44,0,1
11,682291,23677157,13,0,1
11,59201,23677226,44,0,1
12,727500,23677155,13,0,1
12,63418,23677226,44,0,0
13,65494,23677226,44,0,1
14,103828,23677226,44,4,1
14,80862,23677226,44,0,1
15,103830,23677226,44,0,1
15,749901,23677155,13,0,1
16,749901,23677156,13,0,1
16,106154,23677226,44,0,0
17,106155,23677226,44,0,1
17,749901,23677157,13,0,0
18,802699,23677155,13,0,1
18,111979,23677226,44,0,1
19,116120,23677226,44,0,1
19,802699,23677156,13,0,1
20,120779,23677226,44,0,1
21,124389,23677226,44,0,0
22,128027,23677226,44,0,1
22,868920,23677156,13,0,0
23,128737,23677226,44,0,1
23,868920,23677157,13,0,1
24,914783,23677155,13,0,0
24,136069,23677226,44,0,1
25,136939,23677226,44,0,0
25,914783,23677156,13,0,0
26,136940,23677226,44,0,1
26,914783,23677157,13,0,0
27,1181594,23677155,13,0,1
27,147669,23677226,44,0,1
28,1181594,23677156,13,0,1
28,147994,23677226,44,0,1
29,19654783,23677155,13,4,1
29,1181594,23677157,13,0,1
29,351289,23677226,44,4,1
29,157747,23677226,44,0,1
30,776779,23677226,44,4,1
30,157779,23677226,44,0,1
30,9210368,23677155,13,4,1
30,1181596,23677155,13,0,0
31,160206,23677226,44,0,1
31,1181596,23677156,13,0,1
32,162829,23677226,44,0,1
32,5936119,23677155,13,4,1
32,1181596,23677157,13,0,1
32,241850,23677226,44,4,1
33,1410386,23677155,13,0,1
33,165908,23677226,44,0,1
33,845085,23677133,7,4,1
34,174088,23677226,44,0,1
35,177744,23677226,44,0,1
35,1410386,23677157,13,0,1
36,1801671,23677155,13,0,0
36,187829,23677226,44,0,0
37,1801671,23677156,13,0,1
37,193054,23677226,44,0,1
38,193561,23677226,44,0,1
38,1801671,23677157,13,0,1
39,202152,23677226,44,0,1
39,1928246,23677155,13,0,1
40,202243,23677226,44,0,1
41,203114,23677226,44,0,1
41,1928246,23677157,13,0,1
42,207272,23677226,44,0,1
42,2407324,23677155,13,0,0
43,211686,23677226,44,0,1
43,11205237,23677155,13,4,1
43,916273,23677226,44,4,0
43,2407324,23677156,13,0,1
44,21745053,23677155,13,4,1
44,2407324,23677157,13,0,1
44,217751,23677226,44,0,1
44,853456,23677226,44,4,1
45,2408138,23677155,13,0,0
45,174086,23677226,44,4,0
45,224088,23677226,44,0,1
45,7839341,23677155,13,4,1
46,2408138,23677156,13,0,1
46,227073,23677226,44,0,0
47,2408138,23677157,13,0,1
47,230247,23677226,44,0,1
47,19546,23677138,7,0,0
47,6016307,23677133,7,4,1
48,234584,23677226,44,0,1
48,2446339,23677155,13,0,0
49,2446339,23677156,13,0,1
49,235427,23677226,44,0,0
50,238321,23677226,44,0,1
50,2446339,23677157,13,0,1
51,640608,23677226,44,4,0
51,2558197,23677155,13,0,0
51,540829,23677155,13,4,1
51,241852,23677226,44,0,1
52,242006,23677226,44,0,1
52,891389,23677226,44,4,1
53,244234,23677226,44,0,0
53,2558197,23677157,13,0,1
54,2584059,23677155,13,0,1
54,245666,23677226,44,0,1
55,250689,23677226,44,0,1
55,2584059,23677156,13,0,1
56,2584059,23677157,13,0,1
56,259444,23677226,44,0,1
56,4328782,23677226,44,4,1
56,7200130,23677155,13,4,1
57,278440,23677226,44,0,1
57,2655635,23677155,13,0,1
58,279856,23677226,44,0,1
59,2655635,23677157,13,0,1
59,281238,23677226,44,0,1
60,281393,23677226,44,0,1
60,2670867,23677155,13,0,1
61,2670867,23677156,13,0,0
61,286790,23677226,44,0,1
62,292891,23677226,44,0,1
62,2670867,23677157,13,0,1
63,2801895,23677155,13,0,1
63,296923,23677226,44,0,1
63,13140215,23677155,13,4,1
63,165906,23677226,44,4,1
64,298518,23677226,44,0,1
65,2801895,23677157,13,0,1
65,299390,23677226,44,0,1
66,2884214,23677155,13,0,1
66,305473,23677226,44,0,0
67,311167,23677226,44,0,1
67,2884214,23677156,13,0,0
67,353067,23677226,44,4,0
67,12962394,23677155,13,4,1
68,2884214,23677157,13,0,1
68,314562,23677226,44,0,1
69,334119,23677226,44,0,1
69,2884218,23677155,13,0,0
70,227071,23677226,44,4,0
70,2884218,23677156,13,0,1
70,17621070,23677157,13,4,1
70,345909,23677226,44,0,1
71,351291,23677226,44,0,0
72,353069,23677226,44,0,1
72,2884219,23677155,13,0,1
73,17621072,23677157,13,4,1
73,357577,23677226,44,0,0
73,202241,23677226,44,4,0
73,2884219,23677156,13,0,0
74,359837,23677226,44,0,0
74,2884219,23677157,13,0,1
75,361552,23677226,44,0,1
75,2948282,23677155,13,0,1
76,2948282,23677156,13,0,0
76,370548,23677226,44,0,1
77,379081,23677226,44,0,1
77,2948282,23677157,13,0,1
78,2973245,23677155,13,0,0
78,383566,23677226,44,0,0
79,396829,23677226,44,0,1
79,2973245,23677156,13,0,1
80,299388,23677226,44,4,1
80,7357528,23677157,13,4,1
80,403117,23677226,44,0,0
81,428051,23677226,44,0,1
81,2988615,23677155,13,0,0
82,454282,23677226,44,0,1
82,2988615,23677156,13,0,1
83,21273056,23677133,7,4,1
83,454858,23677226,44,0,1
83,2988615,23677157,13,0,1
84,3000636,23677155,13,0,1
84,461152,23677226,44,0,1
85,469062,23677226,44,0,1
85,3000636,23677156,13,0,1
86,3000636,23677157,13,0,1
86,469342,23677226,44,0,1
87,345907,23677226,44,4,1
87,13088706,23677157,13,4,0
87,473027,23677226,44,0,0
88,34923,23677137,7,0,1
88,3206815,23677156,13,0,1
88,858381,23677226,44,4,1
88,474317,23677226,44,0,1
89,3206815,23677157,13,0,1
89,487414,23677226,44,0,1
90,489467,23677226,44,0,1
90,3290612,23677155,13,0,0
91,497857,23677226,44,0,1
92,3290612,23677157,13,0,1
92,512228,23677226,44,0,1
93,20328638,23677157,13,4,1
93,513247,23677226,44,0,1
93,298516,23677226,44,4,1
93,3475974,23677155,13,0,1
94,3475974,23677156,13,0,1
94,518707,23677226,44,0,1
95,520194,23677226,44,0,0
95,3475974,23677157,13,0,1
96,4042116,23677155,13,0,0
96,19654781,23677157,13,4,1
96,531921,23677226,44,0,1
97,4042116,23677156,13,0,1
97,541802,23677226,44,0,0
98,4042116,23677157,13,0,1
98,546907,23677226,44,0,1
99,40613,23677134,7,0,1
99,563745,23677226,44,0,1
99,16064530,23677133,7,4,1
100,4243051,23677156,13,0,1
100,5936119,23677157,13,4,1
100,590961,23677226,44,0,0
101,4243051,23677157,13,0,1
101,592518,23677226,44,0,1
101,40613,23677136,7,0,1
102,605830,23677226,44,0,1
102,892626,23677226,44,4,0
102,10174628,23677133,7,4,1
103,631363,23677226,44,0,1
103,4301141,23677156,13,0,0
103,8359774,23677133,7,4,1
104,17621071,23677157,13,4,1
104,640610,23677226,44,0,0
104,4301141,23677157,13,0,1
105,646741,23677226,44,0,0
106,652691,23677226,44,0,1
107,4409375,23677157,13,0,1
107,661981,23677226,44,0,1
108,4409384,23677155,13,0,1
108,670346,23677226,44,0,1
108,23355904,23677226,44,4,1
109,2949081,23677157,13,4,1
109,673503,23677226,44,0,1
109,4409384,23677156,13,0,1
110,681080,23677226,44,0,0
110,4409384,23677157,13,0,1
111,11205237,23677157,13,4,1
111,53721,23677226,44,4,0
111,4409393,23677155,13,0,1
111,682347,23677226,44,0,1
112,4409393,23677156,13,0,1
112,689533,23677226,44,0,0
113,4409393,23677157,13,0,0
113,694025,23677226,44,0,1
113,22137813,23677133,7,4,1
114,4477236,23677155,13,0,0
114,695352,23677226,44,0,1
115,4477236,23677156,13,0,1
115,695791,23677226,44,0,0
116,714207,23677226,44,0,1
116,4477236,23677157,13,0,1
117,718538,23677226,44,0,1
117,4482794,23677155,13,0,1
118,4482794,23677156,13,0,1
118,725502,23677226,44,0,1
119,4482794,23677157,13,0,1
119,739815,23677226,44,0,1
120,4657480,23677155,13,0,1
120,3868943,23677226,44,4,1
120,741290,23677226,44,0,1
121,745912,23677226,44,0,1
122,4657480,23677157,13,0,0
122,748155,23677226,44,0,0
123,755768,23677226,44,0,1
123,4925096,23677155,13,0,0
124,718536,23677226,44,4,1
124,7200130,23677157,13,4,1
124,775736,23677226,44,0,1
124,4925096,23677156,13,0,1
125,4925096,23677157,13,0,1
125,776781,23677226,44,0,1
126,789020,23677226,44,0,0
126,4987113,23677155,13,0,1
127,801170,23677226,44,0,1
127,4987113,23677156,13,0,1
128,801888,23677226,44,0,1
129,5024007,23677155,13,0,0
129,812841,23677226,44,0,1
130,820540,23677226,44,0,1
131,820623,23677226,44,0,1
131,5024007,23677157,13,0,1
132,821504,23677226,44,0,1
132,5037656,23677155,13,0,0
133,843065,23677226,44,0,1
133,5037656,23677156,13,0,1
134,5037656,23677157,13,0,1
134,847424,23677226,44,0,1
134,912096,23677226,44,4,1
134,1313371,23677157,13,4,1
135,426940,23677226,44,4,1
135,3894025,23677157,13,4,0
135,853458,23677226,44,0,1
